Spanish,English
cabeza,head
hemos,we
amigos,friends
chica,girl
cariño,my dear
lado,side
allá,there
entre,between
minutos,minutes
digo,say
algún,some
serio,serious
cuidado,care
pasó,happened
buenas,good
somos,are
amor,love
puerta,door
ves,see
vaya,go
ah,ah
suerte,luck
eh,hey
rápido,fast
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,thought
todavía,still
hermano,brother
debes,owe
casi,almost
forma,form
aqui,here
chico,boy
ok,ok
dicho,saying
nueva,new
sabía,knew
muchas,many
dentro,inside
hice,did
contra,against
auto,car
camino,road
ayuda,help
primera,first
hacia,towards
vi,saw
miedo,fear
adiós,goodbye
primero,first
debería,should
poder,power
niños,children
sería,be
historia,history
hey,hey
mientras,while
ciudad,city
dijiste,said
espero,i wish
cuánto,how much
esposa,spouse
pronto,soon
chicos,boys
cualquier,any
viejo,old
debemos,we must
deja,leave
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,ok
cuál,which one
viene,comes
volver,return
toma,taking
caso,case
agua,water
haré,will
vete,go away
entiendo,i understand
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,child
listo,ready
noches,nights
buenos,good
iba,was
juntos,together
dame,give me
único,unique
déjame,let me
cerca,near
otros,other
sigue,go on
grande,big
arriba,up
jefe,chief
habla,speech
supongo,guess
manera,way
quieren,want
feliz,happy
significa,signifies
sangre,blood
fin,the end
bajo,low
llama,flame
venir,come
morir,die
importante,important
hiciste,did
ojos,eyes
escucha,listen to me
entrar,enter
ningún,no
corazón,heart
diablos,hell
necesitamos,need
atrás,behind
durante,during
dices,say
nuestros,our
persona,person
abajo,down
dr,dr
hija,daughter
dejar,leave
necesita,need
llegar,arrive
hago,do
señora,madam
haya,beech
suficiente,enough
doctor,doctor
gustaría,like
tierra,earth
cara,face
siquiera,at least
genial,that's great
cree,cree
supuesto,supposed
tomar,take
equipo,team
justo,just
juego,game
ninguna,no
matar,kill
cinco,five
dicen,say
amo,master
cuándo,when
pequeño,small
algunos,some
conozco,know
clase,class
maldito,damned
unas,some
muchos,many
hubiera,had
segundo,second
aunque,although
pueda,can
igual,equal
comida,food
ay,alas
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come
creer,believe
realidad,reality
saben,know
puta,whore
deberías,should
pregunta,question
fui,went
cuatro,four
sra,mrs
primer,first
trabajar,work
e,and
hagas,do
alto,high
maldita,damn
comer,eat
número,number
dar,to give
necesitas,need
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,difficult
vivir,live
paso,step
malo,bad boy
estabas,were
vivo,alive
haga,do
queda,is left
hijos,children
mayor,elder
fiesta,party
hacen,make
medio,middle
algunas,some
basta,stop it
arma,weapon
vino,wine
meses,months
cuarto,room
éste,this
escuela,school
esté,is
dólares,dollars
tío,uncle
posible,possible
